Country,Code,Year,Unemployment_Rate,Deaths,Population,DeathsPer10000
Paraguay,PRY,2011,4.670000076,727,6530029,1.11331818
Paraguay,PRY,2012,4.090000153,726,6530029,1.111786793
Paraguay,PRY,2013,4.380000114,716,6530029,1.096472925
Paraguay,PRY,2014,5.03000021,721,6530029,1.104129859
Paraguay,PRY,2015,4.559999943,737,6530029,1.128632047
Paraguay,PRY,2016,5.25,760,6530029,1.163853943
Paraguay,PRY,2017,4.610000134,785,6530029,1.202138612
Paraguay,PRY,2018,6.21999979,803,6530029,1.229703574
Paraguay,PRY,2019,6.590000153,823,6530029,1.260331309
Peru,PER,1992,4.721000195,1450,32824864,0.441738312
Peru,PER,1993,4.500999928,1501,32824864,0.457275314
Peru,PER,1994,4.248000145,1514,32824864,0.461235727
Peru,PER,1995,4.480000019,1488,32824864,0.453314902
Peru,PER,1996,4.717999935,1458,32824864,0.444175488
Peru,PER,1997,4.593999863,1391,32824864,0.423764132
Peru,PER,1998,4.947000027,1297,32824864,0.395127303
Peru,PER,1999,4.897999763,1167,32824864,0.355523179
Peru,PER,2000,4.883999825,1091,32824864,0.332369999
Peru,PER,2001,5.026000023,1029,32824864,0.313481878
Peru,PER,2002,4.840000153,1006,32824864,0.306474994
Peru,PER,2003,4.150000095,1017,32824864,0.309826112
Peru,PER,2004,4.699999809,1027,32824864,0.312872583
Peru,PER,2005,4.880000114,1027,32824864,0.312872583
Peru,PER,2006,4.179999828,1035,32824864,0.31530976
Peru,PER,2007,4.039999962,1033,32824864,0.314700466
Peru,PER,2008,4.039999962,1066,32824864,0.324753821
Peru,PER,2009,3.980000019,1136,32824864,0.346079119
Peru,PER,2010,3.579999924,1154,32824864,0.351562767
Peru,PER,2011,3.480000019,1159,32824864,0.353086002
Peru,PER,2012,3.24000001,1164,32824864,0.354609238
Peru,PER,2013,3.569999933,1148,32824864,0.349734884
Peru,PER,2014,3.210000038,1137,32824864,0.346383766
Peru,PER,2015,3.269999981,1135,32824864,0.345774471
Peru,PER,2016,3.74000001,1130,32824864,0.344251236
Peru,PER,2017,3.690000057,1140,32824864,0.347297707
Peru,PER,2018,3.49000001,1145,32824864,0.348820943
Peru,PER,2019,3.380000114,1142,32824864,0.347907001
Suriname,SUR,1992,17.28000069,34,600305,0.566378757
Suriname,SUR,1993,15.64000034,35,600305,0.583036956
Suriname,SUR,1994,12.69999981,35,600305,0.583036956
Suriname,SUR,1995,8.390000343,34,600305,0.566378757
Suriname,SUR,1996,10.88000011,34,600305,0.566378757
Suriname,SUR,1997,10.56000042,35,600305,0.583036956
Suriname,SUR,1998,10.63000011,38,600305,0.633011552
Suriname,SUR,1999,13.60000038,40,600305,0.66632795
Suriname,SUR,2000,12.73799992,39,600305,0.649669751
Suriname,SUR,2001,11.9119997,39,600305,0.649669751
Suriname,SUR,2002,11.15299988,41,600305,0.682986149
Suriname,SUR,2003,10.30700016,45,600305,0.749618944
Suriname,SUR,2004,9.489999771,47,600305,0.782935341
Suriname,SUR,2005,9.383000374,49,600305,0.816251739
Suriname,SUR,2006,9.192000389,50,600305,0.832909937
Suriname,SUR,2007,9.031999588,51,600305,0.849568136
Suriname,SUR,2008,8.875,50,600305,0.832909937
Suriname,SUR,2009,8.720000267,50,600305,0.832909937
Suriname,SUR,2010,7.150000095,51,600305,0.849568136
Suriname,SUR,2011,7.539999962,51,600305,0.849568136
Suriname,SUR,2012,8.100000381,49,600305,0.816251739
Suriname,SUR,2013,6.599999905,49,600305,0.816251739
Suriname,SUR,2014,6.940000057,48,600305,0.79959354
Suriname,SUR,2015,7.21999979,49,600305,0.816251739
Suriname,SUR,2016,7.920000076,49,600305,0.816251739
Suriname,SUR,2017,7.903999805,49,600305,0.816251739
Suriname,SUR,2018,7.926000118,49,600305,0.816251739
Suriname,SUR,2019,8.039999962,49,600305,0.816251739
Uruguay,URY,1992,8.960000038,127,3428412,0.370433892
Uruguay,URY,1993,8.350000381,145,3428412,0.422936333
Uruguay,URY,1994,9.039999962,149,3428412,0.434603542
Uruguay,URY,1995,10.02000046,144,3428412,0.420019531
Uruguay,URY,1996,11.93000031,142,3428412,0.414185926
Uruguay,URY,1997,11.43999958,157,3428412,0.457937961
Uruguay,URY,1998,9.359999657,178,3428412,0.519190809
Uruguay,URY,1999,10.47000027,174,3428412,0.5075236
Uruguay,URY,2000,12.63000011,173,3428412,0.504606798
Uruguay,URY,2001,15.05000019,166,3428412,0.484189181
Uruguay,URY,2002,16.64999962,182,3428412,0.530858018
Uruguay,URY,2003,16.65999985,153,3428412,0.446270752
Uruguay,URY,2004,12.97999954,149,3428412,0.434603542
Uruguay,URY,2005,12.01000023,155,3428412,0.452104356
Uruguay,URY,2006,10.84000015,167,3428412,0.487105984
Uruguay,URY,2007,9.399999619,166,3428412,0.484189181
Uruguay,URY,2008,8.029999733,172,3428412,0.501689995
Uruguay,URY,2009,7.739999771,186,3428412,0.542525227
Uruguay,URY,2010,7.159999847,188,3428412,0.548358832
Uruguay,URY,2011,6.309999943,200,3428412,0.58336046
Uruguay,URY,2012,6.449999809,230,3428412,0.670864529
Uruguay,URY,2013,6.440000057,231,3428412,0.673781331
Uruguay,URY,2014,6.550000191,236,3428412,0.688365342
Uruguay,URY,2015,7.489999771,253,3428412,0.737950981
Uruguay,URY,2016,7.840000153,249,3428412,0.726283772
Uruguay,URY,2017,7.889999866,226,3428412,0.659197319
Uruguay,URY,2018,8.340000153,218,3428412,0.635862901
Uruguay,URY,2019,8.880000114,212,3428412,0.618362087
Venezuela,VEN,1992,7.690000057,3572,28971686,1.232927901
Venezuela,VEN,1993,6.599999905,4137,28971686,1.427945892
Venezuela,VEN,1994,8.56000042,4762,28971686,1.643673758
Venezuela,VEN,1995,10.23999977,4708,28971686,1.62503487
Venezuela,VEN,1996,11.77000046,4589,28971686,1.583960285
Venezuela,VEN,1997,11.15999985,4319,28971686,1.490765846
Venezuela,VEN,1998,11.14999962,4808,28971686,1.659551329
Venezuela,VEN,1999,14.52999973,5991,28971686,2.067881034
Venezuela,VEN,2000,13.98999977,7857,28971686,2.711958151
Venezuela,VEN,2001,13.03999996,8659,28971686,2.988780149
Venezuela,VEN,2002,16.17000008,9063,28971686,3.128226642
Venezuela,VEN,2003,16.78000069,10090,28971686,3.482710671
Venezuela,VEN,2004,15.06999969,9499,28971686,3.278718401
Venezuela,VEN,2005,10.65999985,9283,28971686,3.204162851
Venezuela,VEN,2006,8.609999657,9923,28971686,3.425068186
Venezuela,VEN,2007,7.28000021,10728,28971686,3.702925677
Venezuela,VEN,2008,6.25,11381,28971686,3.928318152
Venezuela,VEN,2009,6.099999905,12068,28971686,4.165446222
Venezuela,VEN,2010,7.110000134,12213,28971686,4.215495087
Venezuela,VEN,2011,6.900000095,12501,28971686,4.314902488
Venezuela,VEN,2012,6.599999905,13549,28971686,4.676634974
Venezuela,VEN,2013,7.539999962,13636,28971686,4.706664293
Venezuela,VEN,2014,6.863999844,13247,28971686,4.572395269
Venezuela,VEN,2015,6.079999924,13295,28971686,4.588963169
Venezuela,VEN,2016,5.320000172,12500,28971686,4.314557323
Venezuela,VEN,2017,5.050000191,11462,28971686,3.956276483
Venezuela,VEN,2018,5.021999836,11198,28971686,3.865153033
Venezuela,VEN,2019,5.096000195,10944,28971686,3.777481228
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
